iter	Passed	Remaining
0	87	87866
1	110	55100
2	136	45234
3	162	40476
4	191	38207
5	224	37113
6	254	36155
7	284	35306
8	311	34321
9	343	34028
10	530	47668
11	574	47261
12	605	45948
13	636	44798
14	663	43565
15	692	42608
16	730	42235
17	761	41552
18	789	40749
19	816	40024
20	845	39434
21	876	38955
22	908	38603
23	941	38296
24	978	38156
25	1042	39064
26	1082	39018
27	1109	38501
28	1135	38002
29	1171	37874
30	1203	37608
31	1234	37335
32	1260	36947
33	1286	36539
34	1310	36141
35	1343	35978
36	1372	35716
37	1400	35463
38	1438	35444
39	1467	35210
40	1497	35015
41	1528	34855
42	1554	34598
43	1583	34400
44	1614	34255
45	1646	34153
46	1675	33963
47	1705	33830
48	1734	33662
49	1759	33434
50	1788	33287
51	1819	33168
52	1859	33224
53	1905	33374
54	1943	33390
55	1981	33396
56	2017	33371
57	2054	33368
58	2093	33391
59	2119	33199
60	2141	32970
61	2169	32827
62	2197	32689
63	2224	32526
64	2265	32590
65	2295	32484
66	2320	32318
67	2344	32136
68	2370	31989
69	2397	31853
70	2421	31684
71	2450	31578
72	2483	31532
73	2508	31392
74	2534	31260
75	2560	31131
76	2588	31034
77	2621	30982
78	2654	30948
79	2686	30893
80	2722	30884
81	2752	30812
82	2779	30705
83	2803	30575
84	2825	30411
85	2847	30261
86	2870	30128
87	2902	30075
88	2926	29958
89	2950	29834
90	2974	29711
91	2996	29577
92	3022	29478
93	3047	29372
94	3081	29358
95	3116	29349
96	3145	29282
97	3175	29227
98	3206	29185
99	3234	29108
100	3266	29073
101	3294	29006
102	3325	28962
103	3354	28900
104	3381	28820
105	3419	28840
106	3451	28801
107	3481	28752
108	3509	28691
109	3540	28645
110	3568	28579
111	3597	28519
112	3625	28462
113	3665	28488
114	3709	28548
115	3748	28563
116	3790	28604
117	3822	28571
118	3855	28541
119	3883	28475
120	3917	28458
121	3948	28416
122	3975	28344
123	4005	28298
124	4037	28263
125	4065	28199
126	4091	28126
127	4117	28049
128	4148	28011
129	4180	27976
130	4203	27883
131	4227	27799
132	4253	27726
133	4275	27630
134	4300	27552
135	4323	27463
136	4352	27420
137	4381	27366
138	4407	27300
139	4432	27225
140	4454	27140
141	4475	27042
142	4497	26955
143	4518	26862
144	4543	26790
145	4571	26738
146	4598	26681
147	4623	26615
148	4647	26542
149	4675	26493
150	4699	26423
151	4718	26325
152	4745	26272
153	4770	26206
154	4799	26164
155	4856	26277
156	4958	26625
157	5030	26807
158	5059	26762
159	5083	26689
160	5111	26637
161	5138	26582
162	5163	26516
163	5190	26457
164	5214	26387
165	5242	26338
166	5263	26256
167	5288	26191
168	5315	26138
169	5344	26092
170	5374	26055
171	5402	26005
172	5427	25943
173	5449	25867
174	5474	25807
175	5495	25727
176	5520	25667
177	5545	25607
178	5571	25551
179	5598	25502
180	5633	25489
181	5663	25456
182	5696	25429
183	5729	25409
184	5760	25375
185	5784	25316
186	5808	25251
187	5836	25209
188	5861	25151
189	5885	25091
190	5907	25021
191	5935	24979
192	5961	24928
193	6000	24930
194	6033	24905
195	6067	24889
196	6087	24813
197	6107	24737
198	6132	24683
199	6156	24626
200	6177	24554
201	6202	24503
202	6232	24471
203	6271	24472
204	6306	24458
205	6342	24447
206	6372	24413
207	6399	24365
208	6421	24303
209	6445	24248
210	6473	24208
211	6497	24149
212	6517	24082
213	6538	24016
214	6563	23962
215	6586	23906
216	6617	23877
217	6655	23875
218	6689	23855
219	6716	23811
220	6742	23767
221	6763	23702
222	6783	23634
223	6804	23572
224	6831	23529
225	6853	23470
226	6881	23434
227	6910	23398
228	6935	23351
229	6961	23304
230	6993	23282
231	7018	23232
232	7049	23204
233	7076	23164
234	7125	23194
235	7170	23211
236	7200	23182
237	7230	23148
238	7255	23100
239	7277	23046
240	7297	22983
241	7320	22928
242	7350	22897
243	7372	22843
244	7393	22784
245	7420	22744
246	7445	22699
247	7471	22654
248	7494	22602
249	7521	22564
250	7546	22518
251	7571	22472
252	7595	22426
253	7615	22368
254	7637	22312
255	7662	22268
256	7685	22219
257	7707	22166
258	7728	22111
259	7752	22064
260	7774	22013
261	7800	21972
262	7825	21928
263	7850	21886
264	7874	21839
265	7897	21791
266	7925	21758
267	7960	21743
268	8000	21742
269	8033	21720
270	8061	21684
271	8083	21635
272	8103	21579
273	8126	21532
274	8152	21493
275	8173	21441
276	8199	21402
277	8231	21378
